City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Sao Raimundo Das Mangabeiras,BR,2021-02-02 05:24:28,-7.0219,-45.4811,74.39,82,12,1.66
143,Ternate,ID,2021-02-02 05:24:28,0.8,127.4,82.85,75,71,10.18
144,Burns Lake,CA,2021-02-02 05:20:06,54.2331,-125.7533,24.8,86,100,1.14
145,Te Anau,NZ,2021-02-02 05:24:29,-45.4167,167.7167,70.2,53,78,6.49
146,Norman Wells,CA,2021-02-02 05:24:29,65.282,-126.8329,-18.4,76,90,16.11
147,Mar Del Plata,AR,2021-02-02 05:24:29,-38.0023,-57.5575,66.99,82,75,10.36
148,Sidney,AU,2021-02-02 05:19:58,-33.8679,151.2073,73.4,56,75,18.41
149,Tiksi,RU,2021-02-02 05:24:29,71.6872,128.8694,-11.36,90,100,11.01
150,Ormara,PK,2021-02-02 05:24:29,25.2088,64.6357,70.61,61,0,4.18
151,Tazovskiy,RU,2021-02-02 05:24:29,67.4667,78.7,-6.05,91,100,21.94
152,Beringovskiy,RU,2021-02-02 05:24:30,63.05,179.3167,27.75,98,97,17.78
153,Dole,FR,2021-02-02 05:19:40,47.0833,5.5,50.0,93,90,13.8
154,Kapaa,US,2021-02-02 05:24:30,22.0752,-159.319,71.6,88,40,13.8
155,Leon,MX,2021-02-02 05:20:30,21.1167,-101.6667,55.4,44,40,5.75
156,Puerto Colombia,CO,2021-02-02 05:24:30,10.9878,-74.9547,75.2,88,73,4.61
157,Terney,RU,2021-02-02 05:24:31,45.0503,136.6092,-2.88,79,0,15.57
158,Noumea,NC,2021-02-02 05:24:31,-22.2763,166.4572,78.01,94,75,14.97
159,Ambilobe,MG,2021-02-02 05:22:17,-13.2,49.05,80.69,79,79,1.83
160,San Patricio,US,2021-02-02 05:24:31,28.017,-97.5169,50.0,71,1,3.44
161,Constitucion,CL,2021-02-02 05:20:56,-35.3333,-72.4167,57.24,84,4,4.18
162,Oranjemund,NA,2021-02-02 05:24:31,-28.55,16.4333,61.52,89,1,2.13
163,Opunake,NZ,2021-02-02 05:24:31,-39.4556,173.8583,69.01,63,0,3.0
164,Gohpur,IN,2021-02-02 05:24:32,26.8833,93.6333,69.8,56,20,5.75
165,Campo Grande,BR,2021-02-02 05:24:32,-20.4428,-54.6464,75.2,83,40,11.5
166,Camana,PE,2021-02-02 05:24:32,-16.6228,-72.7111,69.69,76,90,6.17
167,Zhigansk,RU,2021-02-02 05:24:32,66.7697,123.3711,-43.02,78,52,6.4
168,Longyearbyen,SJ,2021-02-02 05:21:45,78.2186,15.6401,17.6,79,90,11.5
169,Cidreira,BR,2021-02-02 05:24:32,-30.1811,-50.2056,74.43,86,0,9.6
170,Mandan,US,2021-02-02 05:24:32,46.8267,-100.8896,26.6,100,90,10.36
171,Sao Joao Da Barra,BR,2021-02-02 05:23:01,-21.6403,-41.0511,76.28,85,94,16.31
172,Rongcheng,CN,2021-02-02 05:24:33,30.634,117.8517,55.89,60,26,4.79
173,Cap Malheureux,MU,2021-02-02 05:24:33,-19.9842,57.6142,84.99,72,11,10.0
174,Georgetown,MY,2021-02-02 05:24:33,5.4112,100.3354,87.8,62,40,4.61
175,Aripuana,BR,2021-02-02 05:24:33,-9.1667,-60.6333,73.18,96,83,0.87
176,New Norfolk,AU,2021-02-02 05:24:33,-42.7826,147.0587,70.0,46,60,3.0
177,Cotonou,BJ,2021-02-02 05:24:34,6.3654,2.4183,82.4,89,40,8.05
178,Lebu,CL,2021-02-02 05:24:34,-37.6167,-73.65,55.72,89,2,13.2
179,Tibati,CM,2021-02-02 05:24:34,6.4667,12.6333,59.59,36,0,2.64
180,Port Lincoln,AU,2021-02-02 05:24:34,-34.7333,135.8667,66.56,56,25,14.79
181,Broome,US,2021-02-02 05:24:34,42.2506,-75.833,24.01,86,90,18.41
182,Walvis Bay,NA,2021-02-02 05:24:34,-22.9575,14.5053,66.0,82,57,8.05
183,Salalah,OM,2021-02-02 05:24:35,17.0151,54.0924,77.0,19,0,13.8
184,Morrope,PE,2021-02-02 05:24:35,-6.5417,-80.0111,71.74,76,45,13.85
185,Labuhan,ID,2021-02-02 05:24:35,-6.8844,112.2051,84.79,74,50,18.34
186,Torrington,US,2021-02-02 05:24:35,41.8007,-73.1212,30.0,96,100,10.0
187,Adrar,MR,2021-02-02 05:24:35,20.5022,-10.0711,63.52,25,71,6.78
188,Hamilton,US,2021-02-02 05:24:13,39.1834,-84.5333,28.4,80,90,12.66
189,Chernyshevskiy,RU,2021-02-02 05:24:35,63.0128,112.4714,-36.24,83,65,4.76
190,Tuktoyaktuk,CA,2021-02-02 05:24:36,69.4541,-133.0374,-18.4,76,40,11.5
191,Kruisfontein,ZA,2021-02-02 05:24:38,-34.0033,24.7314,60.01,92,31,4.0
192,Prince Rupert,CA,2021-02-02 05:24:38,54.3161,-130.3201,41.0,100,1,5.75
193,Westerland,DE,2021-02-02 05:24:38,54.9079,8.3033,19.4,93,37,6.02
194,Sahiwal,PK,2021-02-02 05:21:09,30.6667,73.1,66.96,26,0,4.63
195,Padang,ID,2021-02-02 05:24:22,-0.9492,100.3543,87.8,70,20,5.75
196,Agadez,NE,2021-02-02 05:20:29,19.75,10.25,57.96,27,0,6.13
197,Shieli,KZ,2021-02-02 05:24:39,44.1667,66.75,31.28,89,0,9.42
198,Sao Filipe,CV,2021-02-02 05:24:39,14.8961,-24.4956,71.76,77,0,10.58
199,Ende,ID,2021-02-02 05:24:40,-8.8432,121.6623,84.29,73,86,2.57
200,Riachao,BR,2021-02-02 05:24:40,-7.3619,-46.6172,72.23,87,40,3.6
201,Alta Floresta,BR,2021-02-02 05:24:40,-9.8756,-56.0861,71.58,95,96,2.24
202,Kitimat,CA,2021-02-02 05:24:40,54.0524,-128.6534,28.99,87,100,3.89
203,Katsuura,JP,2021-02-02 05:24:40,35.1333,140.3,60.8,59,40,18.41
204,Northam,GB,2021-02-02 05:24:41,51.0333,-4.2167,51.01,95,90,14.0
205,Kresttsy,RU,2021-02-02 05:24:41,58.2452,32.5165,20.41,97,98,7.02
206,Klaksvik,FO,2021-02-02 05:24:41,62.2266,-6.589,28.4,74,0,2.3
207,Juneau,US,2021-02-02 05:24:41,58.3019,-134.4197,23.0,86,90,5.75
208,Faanui,PF,2021-02-02 05:24:41,-16.4833,-151.75,81.73,75,40,13.4
209,Olafsvik,IS,2021-02-02 05:24:42,64.8945,-23.7142,34.93,82,100,10.63
210,Hasaki,JP,2021-02-02 05:24:42,35.7333,140.8333,59.0,72,20,3.44
211,Bintulu,MY,2021-02-02 05:21:37,3.1667,113.0333,84.2,84,75,4.61
212,Dzaoudzi,YT,2021-02-02 05:24:42,-12.7887,45.2699,86.0,74,0,6.91
213,Souillac,MU,2021-02-02 05:24:42,-20.5167,57.5167,86.0,70,40,14.97
214,Saint-Medard-En-Jalles,FR,2021-02-02 05:24:42,44.8969,-0.7214,54.0,94,90,9.22
215,Khasan,RU,2021-02-02 05:24:42,42.4308,130.6434,12.24,84,41,21.92
216,Umm Lajj,SA,2021-02-02 05:24:43,25.0213,37.2685,73.4,67,91,4.97
217,Flinders,AU,2021-02-02 05:24:43,-34.5833,150.8552,72.0,64,45,1.01
218,Pangnirtung,CA,2021-02-02 05:24:43,66.1451,-65.7125,-31.47,76,14,2.37
219,Lensk,RU,2021-02-02 05:24:43,60.7253,114.9278,-27.58,80,100,10.92
220,Port Hardy,CA,2021-02-02 05:24:43,50.6996,-127.4199,42.8,93,90,10.98
221,Sohbatpur,PK,2021-02-02 05:24:43,28.5202,68.5434,69.53,22,0,3.27
222,Kudahuvadhoo,MV,2021-02-02 05:24:43,2.6708,72.8944,83.14,75,98,14.47
223,Lorengau,PG,2021-02-02 05:24:44,-2.0226,147.2712,84.83,74,81,15.9
224,Podporozhye,RU,2021-02-02 05:24:44,60.9112,34.1706,19.49,97,100,6.22
225,Hofn,IS,2021-02-02 05:24:44,64.2539,-15.2082,32.81,90,100,13.62
226,Port Alfred,ZA,2021-02-02 05:24:44,-33.5906,26.891,69.01,69,58,3.0
227,Sioux Lookout,CA,2021-02-02 05:24:44,50.1001,-91.917,19.4,86,90,2.3
228,Khani,GE,2021-02-02 05:24:44,41.9563,42.9566,42.8,61,0,8.05
229,Elko,US,2021-02-02 05:22:05,41.0002,-115.5012,42.8,42,1,4.61
230,Ahtopol,BG,2021-02-02 05:24:45,42.1,27.95,48.2,100,40,3.44
231,Svetlogorsk,BY,2021-02-02 05:24:45,52.6333,29.7333,14.2,94,100,5.23
232,Lazaro Cardenas,MX,2021-02-02 05:24:45,17.9583,-102.2,73.72,84,0,4.32
233,Antalaha,MG,2021-02-02 05:24:46,-14.9003,50.2788,81.54,72,65,7.02
234,Berani,PK,2021-02-02 05:24:46,25.785,68.8069,62.6,67,0,6.91
235,Arzgir,RU,2021-02-02 05:24:46,45.3728,44.2206,36.61,95,19,6.15
236,Ancud,CL,2021-02-02 05:24:46,-41.8697,-73.8203,54.0,71,0,4.61
237,Christchurch,NZ,2021-02-02 05:20:37,-43.5333,172.6333,66.2,68,20,24.16
238,Upernavik,GL,2021-02-02 05:24:46,72.7868,-56.1549,-4.86,90,100,7.14
239,Marsh Harbour,BS,2021-02-02 05:24:47,26.5412,-77.0636,62.73,72,16,29.77
240,Coihaique,CL,2021-02-02 05:24:47,-45.5752,-72.0662,50.0,81,0,2.3
241,Ottawa,CA,2021-02-02 05:24:40,45.4112,-75.6981,12.2,73,75,9.22
242,Galeana,MX,2021-02-02 05:24:47,24.8333,-100.0667,42.31,67,46,1.9
243,Heihe,CN,2021-02-02 05:24:47,50.2441,127.4902,-14.8,48,40,13.42
244,Samarai,PG,2021-02-02 05:24:47,-10.6167,150.6667,85.37,70,84,14.52
245,Komsomolskiy,UZ,2021-02-02 05:24:48,40.4272,71.7189,46.4,53,100,4.61
246,Leshan,CN,2021-02-02 05:24:48,29.5623,103.7639,63.23,47,24,1.77
247,College,US,2021-02-02 05:20:40,64.8569,-147.8028,-13.0,69,1,6.91
248,Ostrovnoy,RU,2021-02-02 05:24:48,68.0531,39.5131,20.41,97,100,5.66
249,Bathsheba,BB,2021-02-02 05:24:48,13.2167,-59.5167,77.0,69,20,24.16
250,Nalut,LY,2021-02-02 05:24:48,30.3333,10.85,49.42,67,10,7.67
251,Castellamonte,IT,2021-02-02 05:24:49,45.382,7.7121,37.0,95,29,2.98
252,Chokurdakh,RU,2021-02-02 05:24:49,70.6333,147.9167,1.36,93,100,19.8
253,Bandarbeyla,SO,2021-02-02 05:24:49,9.4942,50.8122,74.07,64,81,19.1
254,Les Cayes,HT,2021-02-02 05:24:49,18.2,-73.75,74.37,83,18,2.39
255,Terrace Bay,CA,2021-02-02 05:24:49,48.7834,-87.1,10.4,79,7,3.44
256,Turayf,SA,2021-02-02 05:24:49,31.6725,38.6637,48.2,71,0,17.27
257,Mount Isa,AU,2021-02-02 05:24:50,-20.7333,139.5,104.0,22,75,10.36
258,Las Vegas,US,2021-02-02 05:24:46,36.175,-115.1372,55.4,35,75,2.33
259,Antofagasta,CL,2021-02-02 05:24:50,-23.65,-70.4,66.2,72,90,4.61
260,Ust-Tsilma,RU,2021-02-02 05:24:50,65.441,52.1498,16.0,95,100,9.95
261,Qeshm,IR,2021-02-02 05:24:50,26.9581,56.2719,66.2,68,0,4.61
262,Vila Franca Do Campo,PT,2021-02-02 05:24:50,37.7167,-25.4333,57.0,94,40,21.85
